producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
acer,intel,i7,6,2.6,4.5,ddr4,32,0,1024,nvidia,6144,513,1390,led ips,15.6,3840,2160,100,2.1,windows pro 10.00,84,2900
acer,intel,i7,6,2.6,4.5,ddr4,32,0,1024,nvidia,8192,1380,1590,led ips,17.3,3840,2160,100,4.5,windows pro 10.00,72,4289.5
apple,intel,i3,2,1.1,3.2,ddr4,8,0,256,intel,8192,300,900,led ips,13.3,2560,1600,100,1.25,macos  11.00,49.9,869.5
apple,intel,i5,4,1.4,3.9,ddr3,8,0,256,intel,128,300,1050,led ips,13.3,2560,1600,100,1.37,macos  11.00,58,1099.5
apple,intel,i3,2,1.1,3.2,ddr4,16,0,512,intel,8192,300,900,led ips,13.3,2560,1600,100,1.25,macos  11.00,49.9,1399.5
apple,intel,i5,4,1.4,3.9,ddr3,16,0,128,intel,128,300,1050,led ips,13.3,2560,1600,100,1.37,macos  11.00,58,1450
apple,intel,i5,4,2,3.8,ddr4,16,0,512,intel,8192,300,1050,led ips,13.3,2560,1600,100,1.4,macos  11.00,58,1649
apple,intel,i5,4,1.4,3.9,ddr3,16,0,1024,intel,128,300,1050,led ips,13.3,2560,1600,100,1.37,macos  11.00,58,2099.5
apple,intel,i7,6,2.6,4.5,ddr4,16,0,512,amd,4096,1000,1250,led ips,16.1,3072,1920,100,2,macos  11.00,100,2199.5
apple,intel,i5,4,2,3.8,ddr4,32,0,1024,intel,8192,300,1050,led ips,13.3,2560,1600,100,1.4,macos  11.00,58,2399.5
apple,intel,i7,6,2.6,4.5,ddr4,16,0,256,amd,4096,850,925,led ips,15.4,2880,1800,100,1.83,macos  11.00,83,2499.5
apple,intel,i7,6,2.6,4.5,ddr4,32,0,512,amd,4096,850,925,led ips,15.4,2880,1800,100,1.83,macos  11.00,83,3099.5
apple,intel,i7,6,2.6,4.5,ddr4,32,0,1024,amd,4096,850,925,led ips,15.4,2880,1800,100,1.83,macos  11.00,83,3230
apple,intel,i5,4,2,3.8,ddr4,32,0,4096,intel,8192,300,1050,led ips,13.3,2560,1600,100,1.4,macos  11.00,58,3399.5
apple,intel,i7,6,2.6,4.5,ddr4,32,0,4096,amd,4096,1000,1250,led ips,16.1,3072,1920,100,2,macos  11.00,100,3999.5
asus,intel,i3,2,1.2,3.4,ddr4,4,0,128,intel,8192,300,900,led ips,15.6,1920,1080,60,1.75,windows home 10.00,37,350.5
asus,amd,ryzen3,2,2.6,3.5,ddr4,8,0,256,amd,2048,300,1000,led ips,14,1920,1080,60,1.5,windows home 10.00,37,458.5
asus,intel,i3,2,1.2,3.4,ddr4,8,0,128,intel,8192,300,900,led ips,15.6,1920,1080,60,1.75,windows home 10.00,37,461.5
asus,intel,i3,2,2.1,3.9,ddr4,8,0,128,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.59,windows home 10.00,37,495.5
asus,amd,ryzen5,4,2.1,3.7,ddr4,8,0,256,amd,2048,1100,1200,led tn,15.6,1920,1080,60,1.59,windows home 10.00,37,499.5
asus,amd,ryzen3,2,2.6,3.5,ddr4,8,0,256,amd,2048,300,1000,led ips,17.3,1920,1080,0,2.3,windows home 10.00,32,519
asus,amd,ryzen5,4,2.1,3.7,ddr4,8,0,256,amd,2048,1100,1200,led ips,14,1920,1080,0,1.6,windows home 10.00,42,550.5
asus,intel,i5,4,1.6,4.2,ddr4,8,0,512,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.8,windows home 10.00,50,556.5
asus,amd,ryzen3,2,2.6,3.5,ddr4,12,0,128,amd,2048,300,1000,led ips,15.6,1920,1080,60,1.6,windows home 10.00,37,563.5
asus,amd,ryzen5,4,2.1,3.7,ddr4,4,0,128,amd,2048,1100,1200,led tn,15.6,1920,1080,60,1.59,windows home 10.00,37,570.5
asus,amd,ryzen5,4,2.1,3.7,ddr4,8,0,512,amd,2048,1100,1200,led tn,15.6,1920,1080,60,1.7,windows home 10.00,37,580.5
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,256,nvidia,2048,1531,1594,led ips,14,1920,1080,100,1.15,windows home 10.00,50,592.5
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,256,amd,2048,1100,1500,led ips,14,1920,1080,60,1.5,windows home 10.00,50,600
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,512,amd,2048,1100,1500,led ips,15.6,1920,1080,50,1.8,windows home 10.00,42,600
asus,intel,i5,4,1,3.6,ddr4,8,0,256,intel,8192,300,1050,led ips,15.6,1920,1080,0,1.8,windows home 10.00,32,600
asus,amd,ryzen5,4,2.1,3.7,ddr4,4,0,512,amd,2048,1100,1200,led tn,15.6,1920,1080,60,1.59,windows home 10.00,37,610
asus,intel,i5,2,2.5,3.1,ddr4,6,1000,0,intel,1700,300,1000,led tn,13.3,1920,1080,0,1.5,windows home 10.00,55,631
asus,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,15.6,1920,1080,60,1.8,windows home 10.00,50,658.5
asus,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,13.3,1920,1080,60,1.18,windows home 10.00,50,665.5
asus,intel,i5,4,1,3.6,ddr4,8,0,512,intel,8192,300,1050,led ips,13.3,1920,1080,60,1.18,windows home 10.00,50,674.5
asus,intel,i5,4,1.6,4.2,ddr4,8,0,512,intel,1700,300,1100,led ips,14,1920,1080,60,1.5,windows home 10.00,42,690.5
asus,intel,i5,4,1.6,4.2,ddr4,8,0,512,intel,1700,300,1100,led ips,14,1920,1080,60,1.4,windows home 10.00,50,699.5
asus,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,14,1920,1080,60,1.4,windows home 10.00,50,699.5
asus,intel,i5,4,1.6,4.2,ddr4,8,0,512,nvidia,2048,1519,1582,led ips,15.6,1920,1080,60,1.8,windows home 10.00,37,700
asus,intel,i5,4,1,3.6,ddr4,8,0,256,intel,8192,300,1050,led ips,13.3,1920,1080,90,1.11,windows home 10.00,67,700
asus,intel,i5,4,2.4,4.2,ddr4,8,0,512,nvidia,2048,1531,1594,led ips,15.6,1920,1080,50,1.7,windows home 10.00,42,700
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,512,nvidia,2048,1531,1594,led ips,14,1920,1080,90,1.15,windows home 10.00,50,719
asus,amd,ryzen5,4,2.1,3.7,ddr4,8,0,256,nvidia,3072,1366,1442,led ips,15.6,1920,1080,60,2.3,windows home 10.00,48,730
asus,intel,i5,4,2.4,4.1,ddr4,8,0,512,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.3,windows home 10.00,48,739
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,1024,nvidia,2048,1531,1594,led ips,14,1920,1080,100,1.15,windows pro 10.00,50,740
asus,amd,ryzen5,4,2.1,3.7,ddr4,8,0,256,amd,4096,1172,1275,led ips,15.6,1920,1080,60,2.3,windows home 10.00,48,749
